plot_id,polytrichum_remmuone,sphagnum_palustre,plagiothecium_undulatum,rhytidiadelphus_loreus,hypnum_sp,pleurozium_schreberi,breutelia_chrysocoma,rhytidiadelphus_triquetrus,thuidium_tamariscinum,cephaloziella_bicuspidata,Moss 12,Moss 13,Moss 14,Liverwort 1,Lophocolea bidentata,Liverwort 3,Liverwort 4,Vaccinium vitis idea,Vaccinium myrtillis,Calluna vulgaris,Deschampsia flexuosa,Molinia caerulea,Blechnum spicant,Goodyera Repens (Orchid 1)
1,1,0.92,0.8,0.68,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0
2,0,0.08,0,0.92,1,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0
3,0,0.08,0.2,0.36,1,0.4,0.04,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0.12,0,0
4,0.12,0,0.96,0.16,1,1,0.44,0,0,0,0,0,0,0,0.36,0,0,0,0.04,0,0,0,0,0
5,0,0,1,0,0,1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.16,0,0.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.76,0.08,1,0.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.2,0.24,0.68,0,1,0.16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0
9,0,0,0.72,0.44,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0.52,0,1,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
11,0,0,0.6,0,0.2,0,0,0,1,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0
12,0,0,0.12,0,0.48,0,0.08,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0
13,0,0,0.32,0,0.64,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0.08,0.16,0,0,0,0,0,0.56,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,0,0,1,0,0,0,0,0.08,0.08,0,0,0.28,0,0,0.12,0.24,0.6,0,0,0,0
17,0,0,0.68,0,0.04,0.88,0,0,0.16,0,0,0,0,0,0.08,0,0,0.16,0.44,0.64,0,0,0,0
18,0,0,0.8,0,0,0.24,0,0,0.44,0,0,0,0,0,0.2,0,0,0.84,0.16,1,0,0,0,0
19,0,0,0.44,0,0,1,0,0,0,0,0.04,0,0.08,0,0.08,0,0,1,0.96,0.04,0,0,0,0
20,0,0,0,0,0,1,0,0,0,0,0,0.08,0.28,0,0.08,0,0,0.52,0.72,0.68,0,0,0,0
21,0.84,0,1,0,0,0,0,0,0.04,0,0,0,0,0.2,0,0,0,0,0,0,0.24,0.64,0.04,0
22,0,0,0.6,0,0,0.04,0,0,0.04,0,0,0,0,0,0.12,0,0,0,0,0,0,0.16,0,0
23,0.04,0,0.12,0,0,0,0,0,0.16,0,0,0,0,0,0.12,0,0,0,0,0,0,0.4,0,0.04
24,0,0,1,0,0,1,0,0,0.24,0,0.32,0,0,0.44,0.76,0,0,0,0,0,0,0.28,0,0
25,0.32,0,0.8,0,0,1,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0
26,0,0,1,0,0,1,0,0,0,0,0.04,0,0,0,0.32,0.04,0.04,0,0.04,0,0,0.04,0,0
27,0.72,0,0.96,0,0,0.12,0,0.48,0,0,0,0,0,0.28,0.12,0,0,0,0,0,0,0.52,0,0
28,0.16,0,1,0,0,0,0,0,0.04,0,0,0,0,0.44,0.32,0,0,0,0,0,0,0.16,0,0.12
29,0,0.12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.84,0.16,0,0
30,1,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0
